David Miller,dm_1,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Massive capacity and fast charging,This power bank is a beast! It charged my iPhone 13 four full times on a camping trip. High speed charging works flawlessly on both USB ports simultaneously.,45,48,12-Jan-23
Sarah Jenkins,sj_2,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Essential travel companion,Compact matte finish that fits in my backpack side pocket. Charges tablets and phones quickly with PowerIQ tech. Build quality is solid and sturdy.,38,40,15-Jan-23
Michael Chang,mc_3,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Reliable power bank,Holds charge for weeks without self-draining. LED indicator gives clear battery percentage status. Highly recommended for heavy travelers.,22,24,20-Jan-23
Emily Watson,ew_4,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Great capacity but takes time to recharge,Very high capacity and charges multiple gadgets. Only downside is recharging the power bank itself takes around 9-10 hours with micro-USB.,19,21,25-Jan-23
Robert Davis,rd_5,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Heavier than expected,"The 20000mAh capacity is great, but this brick is too heavy to carry in a pocket. Definitely meant for a backpack or purse only.",28,30,02-Feb-23
Jessica Taylor,jt_6,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,2,Too bulky for daily commute,"It weighs almost a pound. Good for long flights, but too bulky and heavy for carrying around in a jacket pocket.",15,17,06-Feb-23
Brian White,bw_7,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Weight is fine for 20000mAh,"People complaining about weight don't understand battery physics. For 20100mAh, the weight and slim tube form factor are very reasonable.",17,19,10-Feb-23
James Wilson,jw_8,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,1,Battery swelling and casing cracked,"After 4 months of normal use, the battery swelling cracked open the plastic seam! Battery expanded like a pillow. Extremely dangerous fire hazard.",64,68,14-Feb-23
Daniel Martinez,dm_9,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,1,Swelling and burning plastic smell,The battery pack started swelling and emitted a burning chemical smell during recharging. Had to immediately disconnect and place it outside.,52,55,18-Feb-23
Karen Adams,ka_10,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,1,Dangerous smoke from USB port,Smoke started coming out of the second USB port while charging my phone! The port melted. Contacted customer service for emergency return.,48,50,22-Feb-23
Casey 982,amz_user_11,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Reliable battery backup,Anker quality as expected. Durable finish and clean charging output.,25,30,12-Mar-23
Logan 568,amz_user_12,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Reliable battery backup,Holds charge for weeks. Very reliable power for outdoor trips.,3,17,2-Mar-23
Jordan 225,amz_user_13,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Charges my phone fast,Holds charge for weeks. Very reliable power for outdoor trips.,3,12,5-Mar-23
Drew 136,amz_user_14,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Decent charger,Good battery capacity. Recharging the power bank takes a long time.,14,22,21-Mar-23
Taylor 614,amz_user_15,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Great power bank,Charged my phone 4 times without breaking a sweat. High quality casing.,11,2,17-Mar-23
Chris 537,amz_user_16,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Decent charger,Good battery capacity. Recharging the power bank takes a long time.,21,10,25-Mar-23
Drew 992,amz_user_17,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,2,Heavy and large,"Dense and heavy brick, though capacity is undeniable.",6,7,5-Mar-23
Pat 168,amz_user_18,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Great power bank,Holds charge for weeks. Very reliable power for outdoor trips.,16,9,21-Mar-23
Morgan 939,amz_user_19,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,2,Heavy and large,The battery is quite heavy to hold along with the phone. Bulky in pocket.,5,20,11-Mar-23
Alex 214,amz_user_20,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Decent charger,Good battery capacity. Recharging the power bank takes a long time.,20,11,25-Mar-23
Morgan 414,amz_user_21,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Heavy and large,The battery is quite heavy to hold along with the phone. Bulky in pocket.,3,26,10-Mar-23
Casey 882,amz_user_22,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Great power bank,Holds charge for weeks. Very reliable power for outdoor trips.,17,4,5-Mar-23
Pat 949,amz_user_23,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Great power bank,Solid performance and fast charging with PowerIQ. LED lights are useful.,19,29,9-Mar-23
Logan 955,amz_user_24,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Charges my phone fast,Solid performance and fast charging with PowerIQ. LED lights are useful.,25,11,9-Mar-23
Alex 581,amz_user_25,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,1,Severe battery swelling,Battery swelling occurred after 2 months. The casing split open due to cell expansion.,14,24,21-Mar-23
Morgan 576,amz_user_26,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Reliable battery backup,Solid performance and fast charging with PowerIQ. LED lights are useful.,12,14,25-Mar-23
Drew 684,amz_user_27,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Reliable battery backup,Charged my phone 4 times without breaking a sweat. High quality casing.,20,12,8-Mar-23
Jordan 401,amz_user_28,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Reliable battery backup,Solid performance and fast charging with PowerIQ. LED lights are useful.,8,13,14-Mar-23
Pat 812,amz_user_29,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Reliable battery backup,Holds charge for weeks. Very reliable power for outdoor trips.,23,18,24-Mar-23
Sam 217,amz_user_30,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Heavy and large,The battery is quite heavy to hold along with the phone. Bulky in pocket.,14,2,1-Mar-23
Sam 667,amz_user_31,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Great power bank,Anker quality as expected. Durable finish and clean charging output.,25,9,26-Mar-23
Alex 448,amz_user_32,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Heavy and large,The battery is quite heavy to hold along with the phone. Bulky in pocket.,12,26,23-Mar-23
Morgan 415,amz_user_33,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Charges my phone fast,Anker quality as expected. Durable finish and clean charging output.,8,30,25-Mar-23
Taylor 826,amz_user_34,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Heavy and large,The battery is quite heavy to hold along with the phone. Bulky in pocket.,22,15,22-Mar-23
Casey 607,amz_user_35,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,2,Heavy and large,"Dense and heavy brick, though capacity is undeniable.",18,10,11-Mar-23
Sam 355,amz_user_36,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Great power bank,Anker quality as expected. Durable finish and clean charging output.,15,11,23-Mar-23
Morgan 573,amz_user_37,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Great power bank,Solid performance and fast charging with PowerIQ. LED lights are useful.,5,21,4-Mar-23
Taylor 787,amz_user_38,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Reliable battery backup,Anker quality as expected. Durable finish and clean charging output.,3,23,8-Mar-23
Alex 961,amz_user_39,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Charges my phone fast,Holds charge for weeks. Very reliable power for outdoor trips.,16,15,19-Mar-23
Pat 273,amz_user_40,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Reliable battery backup,Holds charge for weeks. Very reliable power for outdoor trips.,6,11,19-Mar-23
Casey 778,amz_user_41,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Decent charger,Good battery capacity. Recharging the power bank takes a long time.,11,7,11-Mar-23
Pat 313,amz_user_42,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Great power bank,Solid performance and fast charging with PowerIQ. LED lights are useful.,23,6,18-Mar-23
Casey 543,amz_user_43,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Best travel charger,Holds charge for weeks. Very reliable power for outdoor trips.,14,13,12-Mar-23
Logan 532,amz_user_44,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Charges my phone fast,Solid performance and fast charging with PowerIQ. LED lights are useful.,23,8,23-Mar-23
Drew 850,amz_user_45,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Great power bank,Holds charge for weeks. Very reliable power for outdoor trips.,1,29,1-Mar-23
Jordan 777,amz_user_46,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Heavy and large,The battery is quite heavy to hold along with the phone. Bulky in pocket.,6,1,21-Mar-23
Jordan 573,amz_user_47,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Reliable battery backup,Anker quality as expected. Durable finish and clean charging output.,24,24,1-Mar-23
Morgan 776,amz_user_48,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,2,Heavy and large,The battery is quite heavy to hold along with the phone. Bulky in pocket.,12,24,11-Mar-23
Alex 356,amz_user_49,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Decent charger,Good battery capacity. Recharging the power bank takes a long time.,13,13,6-Mar-23
Casey 766,amz_user_50,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Best travel charger,Charged my phone 4 times without breaking a sweat. High quality casing.,15,14,11-Mar-23
Sam 632,amz_user_51,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Reliable battery backup,Holds charge for weeks. Very reliable power for outdoor trips.,12,4,5-Mar-23
Taylor 983,amz_user_52,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Reliable battery backup,Solid performance and fast charging with PowerIQ. LED lights are useful.,21,9,12-Mar-23
Taylor 855,amz_user_53,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Best travel charger,Holds charge for weeks. Very reliable power for outdoor trips.,17,20,5-Mar-23
Jordan 606,amz_user_54,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Charges my phone fast,Holds charge for weeks. Very reliable power for outdoor trips.,23,27,1-Mar-23
Jordan 240,amz_user_55,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Great power bank,Anker quality as expected. Durable finish and clean charging output.,11,10,27-Mar-23
Sam 446,amz_user_56,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Heavy and large,"Dense and heavy brick, though capacity is undeniable.",2,20,18-Mar-23
Taylor 684,amz_user_57,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Great power bank,Anker quality as expected. Durable finish and clean charging output.,19,20,7-Mar-23
Jordan 679,amz_user_58,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,5,Reliable battery backup,Holds charge for weeks. Very reliable power for outdoor trips.,13,5,25-Mar-23
Sam 624,amz_user_59,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Best travel charger,Charged my phone 4 times without breaking a sweat. High quality casing.,5,14,18-Mar-23
Logan 194,amz_user_60,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Great power bank,Anker quality as expected. Durable finish and clean charging output.,13,25,20-Mar-23
Casey 346,amz_user_61,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,1,Severe battery swelling,Battery swelling occurred after 2 months. The casing split open due to cell expansion.,22,24,28-Mar-23
Drew 979,amz_user_62,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Charges my phone fast,Anker quality as expected. Durable finish and clean charging output.,1,30,16-Mar-23
Jordan 845,amz_user_63,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,4,Charges my phone fast,Anker quality as expected. Durable finish and clean charging output.,21,19,4-Mar-23
Taylor 458,amz_user_64,Anker PowerCore 20100mAh Portable Charger,B00X5RV14Y,3,Heavy and large,"A bit too heavy for daily pocket carry, but good for backpacks.",20,2,1-Mar-23
