Flipkart Customer,3a6f67576a0e4428a574b138c2dc6e56,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,Great product,"Best phone till date
  
  Best camera best features no need of DSLR now
 
 

   READ MORE
  
",102,24,17-Oct-16
Priyank Jain,b1b34f06713a4e539b649494a7e264ff,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,"iPhone 7 plus, the phone at its best","Amazing phone, the best I have ever used
 
 

   READ MORE
  
",57,30,12-Oct-16
ajay kumar singh,8432e51a71884ae3b2ee37f5e0b2e70f,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,iPhone 7Plus ....This is ___you know what it is :),"Finally unfolded the new seasonal fruit of year :) Apple...Apple iPhone....Apple iPhone 7Plus...
  
  A big thanks to Flipkart for yet another help for iPhone lover in India ... Got my iPhone in just few hours after the launch of iPhone in India...
  

  A superb phone with amazing touch as always..
  
  Great picture quality ...rear dual camera really improved the quality of picture...
  

  Apple is touting the vivid colors the phone can capture ..
  

  Sound quality is awesome...A great phone for music lover as well :)
 
 

   READ MORE
  
",121,154,08-Oct-16
Hemanth Kumar Reddyshetty,778adaddc7ea4769bb3c57c6167892e5,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,Initial observations,"Received the iPhone 7 Plus today. Initial observations below:
  
  1. Easily configurable.
  
  2. Need to insert SIM card to activate iPhone.
  
  3. Have to use phone using both hands.
  
  4. Build quality is excellent.
  
  5. Camera quality is awesome.
  

  Post further observations later, time to enjoy the phone.
 
 

   READ MORE
  
",11,8,13-Oct-16
Bush  Thokchom,26bdc38068a54a169f0968f427148c6b,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,Must buy!,"I got a chance to buy a iphone 7 plus only at 53499 i feel happy after receiving my phone it feel awesome
 
 

   READ MORE
  
",5,2,22-May-17
Rajesh  Pradhan,f993c17c25424689873c5783eb8a4011,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,4,Good choice,"What a phone.amazing look bt camera I can't expected.poor
 
 

   READ MORE
  
",2,0,12-Aug-17
Hardik Sheth,4702ac624dfc442eb54f11a6d1456576,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,iPhone 7 plus,"Awesome phone and awesome delivery by Flipkart
 
 

   READ MORE
  
",2,0,27-Mar-17
Flipkart Customer,75f9c903232c47bab3ae887c377df8d9,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,GOOD DEAL. GO FOR IT,"Exchanged my old iPhone 5s for 7plus. Absolute beauty. Thank you Flipkart
 
 

   READ MORE
  
",3,1,11-Mar-17
Flipkart Customer,5961ecc01243464fab692ab93b4df93f,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,Wonderful,"Awesome phone. Great camera. Good battery. Bright display.
 
 

   READ MORE
  
",3,1,14-Oct-16
MoHiT GuLaTi,2a84cd243d8b4854971c734bcc636590,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,iPhone 7 plus review. New wine in old packing. !!,"Well I received my iPhone 7 plus 32GB gold edition via ekart 22mins post apples India launch. So service wise I don't think it could get any better than this.
  
  Coming to the phone. The 7 plus is a lot like its predecessors. However under the hood the new camera and insane battery and speed of operations is mind blowing. However if you are a 6s user I strongly feel no need for an upgrade. The 6 and below model users should consider this. Thank you Flipkart for the phenomenal service and the smiles you've brought to us all. Cheers.
 
 

   READ MORE
  
",6,7,08-Oct-16
PNR,e8ced2dea78d4f2fb69897a3b73b49c9,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,5,My first iPhone purchase and I am loving it!,"The fastest superb and the most elegant smartphone is here. Display is the most gorgeous ips lcd panel you would find on any phone. Battery life is simply too good with just 20% of it getting consumed for 3  hours of continuous surfing and downloads...more on battery later as I use it...well what can I say about camera..this was one of the key reasons I bought this phone for and it doesn't disappoint..the details are too good and so is the telephoto lens which gives amazing clarity even with 2x zoom...shall upload the photos shortly...taptic home button is simply mind blowing..works as good as the earlier physical button...yet to test the audio and video capabilities...but guys I am  just blown over by this device in the first 5-6 hours...this is my first iPhone purchase and I hope it serves me well for the next few years to come...just go for it guys...
 
 

   READ MORE
  
",11,20,09-Oct-16
Ankita  Mishra,57113bd1a17f41bfb5cf31d5e8766de5,"Apple iPhone 7 Plus (Gold, 32 GB)",MOBEMK62YVHPH7MV,4,Wonderful,"Great one
 
 

   READ MORE
  
",2,1,16-Apr-17
