ANAND RAJ,2755230502624a29af5d443f7be1f394,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,5,LENOVO VIBE K5 PLUS IS A EXCELLENT PHONE.,"LENOVO VIBE K5 PLUS IS AN EXCELLENT PHONE.
  
  FAST & SMOOTH WORKING/ PROCESSING.
  
  BATTERY POWER SHOULD BE INCREASE. BUT AT THIS PRICE THIS PHONE IS SUPER.
  
  VERY FAST DELIVERY BY FLIP-KART.
  
  I am using this phone from last 15 days. Excellent phone.
 
 

   READ MORE
  
",5213,1298,18-Sep-16
Flipkart Customer,9d3f69c7f80f44ffa7fa04dd25645de3,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,4,Wonderful,"Good phone
  
  For the first time using this phone there was a mild heating issue for 10 min which usual in all brands and now there is no heating issue.
  
  Good rear camera
  
  Overall good performance....
 
 

   READ MORE
  
",1889,594,16-Sep-16
K V RAMA RAO,809342cdfcad43afa6c8daf1e4fb0577,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,5,LENOVO VIBE K5 PLUS 3GB,"DELIVERY, TRACKING UPDATE, EXCELLENT AS COMMITTED.
 
 

   READ MORE
  
",591,198,29-Aug-16
Neha Mane,3c4fc6d735334ed5af3b8bf05fce0e3f,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,4,Worth a Buy !!!,"Dolby Sound is Amazing.....
 
 

   READ MORE
  
",2005,731,01-Sep-16
Flipkart Customer,ab8acaaef91949b0b03033fdd1d386da,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,1,Utterly Disappointed,"Major heating problem and battery drains real quick
 
 

   READ MORE
  
",239,80,22-Oct-16
Vikash Kumar,71f60bdfc0b64d309f1535089dd122e1,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,1,Waste of money!,"I don't understand why manufacturer boast only 2750mah battery.
  
  Absolutely rubbish mobile every mobile having quick charge function but it's having quick discharge function.
 
 

   READ MORE
  
",821,316,29-Jan-17
Marapelli Ramu,cb3689e3224d45aebc1fe503ff5820ba,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,2,Good quality product,"My mobile good but battery over heating
 
 

   READ MORE
  
",139,46,25-Sep-16
Naveen Kumar,db3dc9818c73486484a557144aef2028,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,5,Super!,"This is a super phone I have used for one month no problem was happened it is a super and Wonder ful phone.......Happy
 
 

   READ MORE
  
",99,31,22-Sep-16
SUBARNA DAS,bd6062908ed84b2a9229d50c0071127c,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,4,Highly recommended,"Thanks for VoLTE update via OTA and camera quality so nice,  battery back up would have been more better, otherwise it's fine in this price tag.
 
 

   READ MORE
  
",173,61,23-Sep-16
Arun Raina Smart,e8d8829d568d4a85b9e2cd5911d39046,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",MOBEKEF86VVUE8G2,1,Wonderful,"Must Read this full review...
  

  I'm switched from infocus M2 3G to this Lenovo vibe k5 plus... @6749 on BBD sale.
  

  After one day use , I write my review
  

  From the package I got mobile, battery, charging adapter, data cable, plastic back case, screen protection film but no ear phones.
  

  *Design is looking good and handy.
  
  *Camera back 13 mp but not better than my infocus M2(8mp) , both are almost equal.
  
  *camera front is very clear to take selfies.
  
  *touch is very good to use and display amazing.
  
  *Dolby speakers , sound is better than normal.
  
  *phone is heating very rarely.
  
  *comes to multitasking, 3GB RAM works fine , not hanged till now.
  
  *Battery backup is not good as excepted , but OK for normal use.
  

  I chooses this mobile for this price tag of Rs.6749 at BBD sale , I would recommend at price tag of 8.5k search for other Mobiles with high battery back up. If u don't want much battery back up, then go for this mobile.
  

  Wait wait wait !
  

  The above given review is only after one day use , now I'm editing this review after one month heavy usage of lenevo vibe k5 plus...
  


  This is worst phone I've ever used , very much irritating to use , heating , hanging and everything was happening...
  

  Not able to use continuously for 1hour , after continuously using one hour , it heats and hangs on every
  
  action, even calls are not able to attend on that time , only ringtone is ringing but screen is in black...
  

  Conclusion : this phone specs only on label 3GB ram , 1.5GHz Octacore,,, this is processing like 512MB ram . I'm saled this bricky mobile to low price , and bought Infocus bingo 50+ and this review also writing on my new Infocus mobile...
  

  Guys I'm shared my experience with Lenevo vibe k5 plus , now u decide u wanna buy it not...
  

  Thank you !
 
 

   READ MORE
  
",816,344,10-Oct-16
