Sara Vanan,65b79f958e0d4bbba9cee4de0068af2a,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,4,Wonderful,"Nice product
 
 

   READ MORE
  
",196,40,14-May-17
Flipkart Customer,9b36f259aab24d8d9fdbe5107ec6efc7,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,5,Mind-blowing purchase,"Super......
 
 

   READ MORE
  
",188,39,14-May-17
Flipkart Customer,c8ee414462814e98b830bd033db50abf,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,4,Good quality product,"Good .Non removable battery Good battery back up. No 4g, No video call Network base, But video call support by app. Camera average.
 
 

   READ MORE
  
",114,39,31-May-17
Anuj Saxena,c33ad63d6c004546951f2d1c34513c0e,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,4,Superb...,"Camera quality excellent,Display crystal clear,Touch is good,Sound of speaker avg,Battery backup could've been little better.Overall a good product at this price
 
 

   READ MORE
  
",13,2,19-Jul-17
Priya,36ed508079e94a9fa9f22953503c40b1,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,4,Pretty good,"GOOD.. i bought this for my motherat the cost of Rs.4249. Its really nice to hold. for my mother use its good to have. 8mp rear &5mp front. 1gb  ram. so from my side its a satisfied product.
 
 

   READ MORE
  
",133,74,06-May-17
AMIT CHANDAN,627dfd5c3c03484298a8e73ee7a1a461,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,4,Very Good,"micromax canvas spark 3 have a very good product in this price range
  
  camera quality are good
  
  and slim handset with 5.5 inches
  
  ppi of this phone are good
  
  thank you micromax...
 
 

   READ MORE
  
",17,5,12-May-17
Jagan kumar  Behera ,1fc98a0d2e074c40a429effaa2f62f5f,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,2,Slightly disappointed,"Product very good bt courier service not good product delivery very late very bad experience
 
 

   READ MORE
  
",5,0,05-Jul-17
Flipkart Customer,ec114fa3804743f4ab5d165e350db70f,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,5,Mind-blowing purchase,"Its best product and nice deliverd i am so happy filpkart is tha best online shopping app
 
 

   READ MORE
  
",4,0,17-May-17
Flipkart Customer,6b29c79e58cc4a7c937d873851d2f8c9,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,4,sorry for bad feedback i gave you four days back,"battery is very worst,
  
  otherwise its a excellent  product in this price
  
  sorry to gave 1 star on recieving the product.
  
  now i used 4 days all are good without battery
  
  thanks to flipkart and micromax
 
 

   READ MORE
  
",45,27,20-Jun-17
rohit singh,0dd775e954db4e74b64b9222fb58a126,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,3,Does the job,"V good product
 
 

   READ MORE
  
",3,0,30-May-17
Sourav Dutta,a8bff39d710641bba928ed6fa11643dd,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,4,Very Good,"Good one
 
 

   READ MORE
  
",3,0,19-May-17
Kaustav Das,3b14633f302d46d2bb500ace896d6df4,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,5,Good quality product,"Very good phone camera quantity superb in sunlight..But not in low light..Multitouch not supported. Only2 touch ....Display superb battery backup superb.or. No 4g..
 
 

   READ MORE
  
",12,8,05-May-17
Swikriti Singh,f7e9f1bc15aa43998e78004f246c8fec,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,4,Very Good,"as described
 
 

   READ MORE
  
",4,1,18-May-17
Pratik Bhawsar,e106c81142d64aa99511ff02396c50a2,"Micromax Canvas Spark 3 (Black, 8 GB)",MOBETC9SPZHC6FPC,1,Defective Replacement,"Replacement is still defective. Worst experience on Flipkart.
 
 

   READ MORE
  
",2,0,03-Aug-17
