Flipkart Customer,71bd92722f654a9c8b947acc0a44b41d,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,5,Nokia X2: When Style And Feature Comes Together,"Cost Effectiveness can be rightly used to describe my new Nokia X2, the smart phone with the android touch. The world of android apps is open to me and I can get whatever app I want on my phone. My leisure hours are well channelised and my busy ones are well supported with the Nokia X2. I have on it apps like the HERE Maps, Nokia Mix Radio, Skype, Oulook and much more. The Fastlane takes convenience to another level by making things faster for me. What is better if I find all my favourite stuffs on one page and I don't have search for them separately if I need them. Fastlane does just that for me. I can fin all my important or the most frequent contacts, favourite apps games, pictures, Facebook updates etc on the Fastlane. In short, Fastlane is the short cut to my favourites.All these Apps need a strong support to play on with any hindrance. And the Qualcomm Snapdragon S4 Dual core processor helps me provides ample support to my Nokia X2. the applications runs without a hitch more so because of the 1GB RAM, that keeps all of it going smoothly. One more thing about my new phone that contributed to adding the Nokia X2 to my good books is its 1800mAh battery. Battery being one of the main factors in any phone was one of my concerns while buying it. But it has delivered commendable performance and I am satisfied that my phone still runs even if I keep multiple apps running at the same time or I am engrossed in a game for hours. Its attractively slim and colourful exterior imparted a very young feel to it. The front side makes up the 4.3 inches LCD display. It is pretty light to hold and also shaped in a manner that it doesn't slip out.
 
 

   READ MORE
  
",8,1,01-Oct-14
ankit srivastava,befc74b65db3424280e28a1b4527306e,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,5,Best phone,"This is the best phone under 9k...those who says this is not support google maps or gmail its totally wrong..it is supported all apk files like android..so go for it..it is a decent phone
 
 

   READ MORE
  
",30,12,09-Sep-14
Sankar Sinipini,73f8335c12e447b886ee756758d97c37,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,5,New Nokia X2 Dual-Sim by Microsoft,"Before,when the NOKIA was not of Microsoft but also it was having a best phone Quality... Now the Nokia is handovered to Microsoft so it is better than best... I always believe in NOKIA, Actually I know NOKIA so what to believe... I was Searching a best Mobile Phone just like this from many days(2 months ago) the first time i saw this phone on a site, i immediately decided to buy this as soon as it is available in market because it was perfect for me whatever i was finding it was there in the phone according to the price too... So, i waited and i waited. At last, it was available on Flipkart!(I always liked flipkart it is my favourite online shopping store)... i ordered it(black coloured) it reached at my home in 32 hrs... i bought it and opened it i saw the phone, battery, charger and earphone were available in box but unfortunately there was no data cable it was ok... I am using the phone for three days 1)Camera Quality is superb during daytime but in evening or night flash must be on for best Quality 2)As expected Super smooth phone supporting all apk file with no lagging as the NOKIA android is made by MICROSOFT...(No dought to hang) 3)Battery backup is ok as it is an android os 4)Supporting Full HD Videos 1080p which i wanted 5)Net using 3G sim is no less than any super computer, 2G is also good as it should be... 6)Earphone Quality is not so good but it is ok as we shouldn't use bassboosted earphone it eventually affects our ear 7)It Is very Cheap according to the specifications only 8k compared to any other branded company nobody gives this much Facility and Quality as NOKIA gives... NOKIA IS BEST OF BEST... MICROSOFT SALUTE TO YOU! and Also Thank You Flipkart For Best Shipment...
 
 

   READ MORE
  
",63,32,11-Sep-14
siva suthan,06ffcfaeb0684191862ac96399d885b9,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,5,nice mob...,"i'm using this mobile for three days. its fast and easy to handle in one hand.. no lag is there.. supports all android apps.. whatsapp is working perfectly without any problem.. overall good performance for me...battery backup is not very good what i was expected, but its ok for one day use..
 
 

   READ MORE
  
",69,36,11-Sep-14
Ajinkya,55d340a0c4bb48caa26c1efaf7fe5795,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,5,With Nokia X2 Discover The Best Of Budget Smartphones,"I can now keep any app I want on my phone because my Nokia X2 is the newest smart phone by the Nokia which has been integrated with Android. This gives me access to the huge treasure trove of amazing Apps. I can browse through the countless number of apps and download the ones I find the most useful and I can download these from any third party App store. Nokia has had pre installed on it quite a few other utility apps that include the navigation app HERE Maps, HERE Drive, social networking apps like the Wechat, Facebook,  and entertainment app like the Nokia Mix Radio. And with so many apps on board the Fastlane on my phone makes it easier to manage them. Nokia X2 is the most suitable handset for me in more than way. It is not only stylish but has also managed to maintain a sense of sophistication in its design. The large screen and the stunning display makes it look gorgeous. And because of it's light weight and the sleek and slim design it can be easily carried around. The 7GB of One Drive storage along with the huge internal storage memory allows me to store and have back up of all my important files. More over it also has a very strong battery back up.My Nokia X2 is a dual SIM phone which is an incentive to the already feature loaded device. I can already do even more than what I normally could with a single SIM. I can swap between the SIMs and make the most out of the both. It is even a good way to control the expenses on my phone like, I can avail the best deals or offers by the different connections. This enables me to keep the amount of money I am spending on data and calls under check.
 
 

   READ MORE
  
",24,9,01-Oct-14
Agrim Sinha,63131c4f938f42599f4ada459e08cbb2,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,5,NOKIA KNOCKED BACK....,"This is the awesome piece from nokia after a long time.....it is capable of running each n every app of android n that too without any lagging....After using it for a month almost now I got to know many interesting things about this nokia x2...it is having many features that u can't get in android phones.like it is having fastlane....pretty nice battery back up better than any android phone in its range....if u are a simple user of phone n play games like angry birds,subway surfer etc then this is the super product for u.....n if you are a game freak n want to run games like dark knight(2 GB) on the phone then obviously this is not a good deal for you.
  
  1.camera is awesome in this range.
  
  2.Music in earphone quality is fine.
  
  3.Mixradio is bonus for music freaks n you can't get it in normal android phones.
  
  4.Dual sim
  
  con- after these awesome things there is a issue with this.In this they are not giving us usb cable. and i tried for usb synchronization with my usb cable and it failed everytime . so that is one issue.for memory card you can use card reader.
  
  Final Verdict-After summing up all these things I can say if your range is under 10k then this is the awesome deal for ya....if you r going 2 buy moto e n android one sets then think again and give it a shot....I bet You won't regret...
 
 

   READ MORE
  
",10,2,17-Dec-14
Soumya Chakraborty,69f3bf13439d494ca168a35315a8504c,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,4,best phone under 10k,"For those who are bored of same android looks, I strongly recommend this phone to them. I purchased it 1 week back & am quite happy with it. I was oh-so-bored with the same android phones which have flooded the market. I am originally a blackberry fan & was using a z10. but i needed a no-non sense, handy phone with all the latest features for my office & personal numbers (dual-sim). after a lot of research online, I zeroed it on X-2 dual. supports all the major android apps (including whatsapp), so you wont feel let out. quickly, the pros & cons:-
  

  pros- good looks, glossy finish, technically not super phone but does its work w/o any lag (with 1.2 ghz proc & 1 gb ram), dual sim, good battery back up
  
  cons- average ppi, average camera, stock headphones are worthless (I am using the xperia headphones with this- sound quality pretty decent)
  

  overall, a good budget phone with all the spex you need... a must buy!!
 
 

   READ MORE
  
",12,3,19-Sep-14
sourabh singh,80eeeae148f7495abb83dd06fec4e4a6,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,4,Gr8 improvement over Nokia X,"impressive solid glossy build , looks premium,    camera is average nt upto nokia's standard,  display is okay, overall performance is very smooth, games like temple run, subway surfur,moderate games runs smoothly, found no issue with nokia's android, if metro UI is a issue 1can: go for any ,  after installing average no. of apps almost 300-500 mb ram remains free but it depends on personal usgae,battery backup is good.
 
 

   READ MORE
  
",23,9,12-Sep-14
Flipkart Customer,d02c6f12ebb04d6c84352e7b618922f2,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,4,Reasons Why I Love Showing Off My Nokia X2,"Though I have kept my budget at a reasonable range I wished to find within that range a device that would adhere to all my basic requirements for a smart phone. That included smart applications and stylish outlook. I got even more than what I had bargained for in my Nokia X2. It has a slim stature and a pretty big 4.3 inches screen that makes up it's front part. I am pleased with the LCD display as well since it is really good at what its meant for. The screen resolution to the colour gradient everything has been configured and set in the right proportion so as to give out crystal clear and sharp images. The fine touch sensitivity of the screen also allows me to taping and scrolling on the screen easier.The Android Apps on my phone was my star. All the apps that I can download from the app stores are overwhelming. I have so many options to choose from and so many benefits I get from these apps. With all the amazing Apps just a click away, my everyday life has become much more fun. Well my Nokia X2 is a powerful phone and not just sturdy. It is durable in all its senses. The 1800mAh battery helps the phone run almost a day by charging it only once. It seem like I can go on and on with whatever I am doing on the phone, playing games or chatting, for hours without having to worry about draining the battery. The Fastlane is just another feature on my Nokia X2 that understands my needs. The Fastlane locates the most favourite stuffs on my phone for me and helps me find them on one page by putting all of them together on a single page. The Dual Core processor and the 1GB RAM ensures smooth functioning of all the apps and the features.
 
 

   READ MORE
  
",9,2,01-Oct-14
Flipkart Customer,79968185a7b0430ba83da8d32ee33e6d,"Nokia X2 Dual SIM (White, 4 GB)",MOBDYZ9HBMEYZMFN,5,"Nokia X2 With Dual Sim, Apps And More","My Nokia X2 is everything I needed. It is a dual sim handset with a strong battery and an enhanced RAM of 1GB which enable all the functions of the phone run properly and smoothly. There are also a large number of apps including android apps which can be downloaded from any of the third party apps store. I could choose my favourite colour from the number of other colours of the phone. The 4.3 inches screen too is one of it's star features. The Clear Black technology powered display ensures a very clear and sharp display. The dual sim provision is also of a lot of help as it allows me to make available a lot of benefits like lowering the expenses or managing the contacts better.
 
 

   READ MORE
  
",4,0,04-Oct-14
