Yesudoss R,1d573c1559be4d2fb6cecc6110254e5c,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Must buy!,"I bought OPPO F3 plus on 15.05.2017
  
  This is the best android mobile. I have used past one week. See my comments below:
  

  1. Camera - 9.5/10
  
  2. Battery backup - 9.5/10
  
  3. Speed & Performance - 9.5/10
  
  4. Display - 9.5/10
  
  5. Marshmallow 6.0 is very good performance and do not update 6.0.1
  

  Overall is good and I don't see any negative things.
  

  Finally I would like to say THANK YOU SO MUCH Flipkart and team members...
 
 

   READ MORE
  
",4672,689,23-May-17
Arindam Dey,bb4f469d490e4d35b520c878bf603f8d,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Highly recommended,"Got it today. Build quality very good front camera capture very well f1.7 aperture. Let see how well the back camera. My opinion for this phone:-
  
  Smart buy in this price segment.
  
  Actually i was looking for nice looks bored with the gold color.  with good camera quality. Samsung C9 pro has nice looks but camera quality is very poor. Oppo f3 plus front camera is very good quality. Lets use for 7 day and i will give complete review
 
 

   READ MORE
  
",3931,648,13-Apr-17
Nitin Tanwar,4eccee2e5f9646129e7a8da1a00c0706,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Super!,"Good phone I like it and I will give it 5 star and 200 maks out of 100...
  
  And thxxx flipkart for giving biggest exchange offer on Oppo f3 plus....  
  

    Great!
  



    Great!
  


   READ MORE
  
",126,37,24-Sep-17
Flipkart Customer,775730d1d834439b9e896361e969370d,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Classy product,"Have used only for 3 weeks & thief snatched away my phone while I was in train. Really disappointed with incident, still paying EMI's & someone else is enjoying.
 
 

   READ MORE
  
",155,49,20-Jun-17
indra dev kose ,f2374b097e5546079485e77cc9615ea8,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Mind-blowing purchase,"Very good quality
 
 

   READ MORE
  
",650,245,05-Apr-17
srujan pragada,17a5d75d299e49558428573988dbd6a2,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,huge phone beautifull design,"phone is fast..camera is excellent but there is ntngnew in the oppo os
 
 

   READ MORE
  
",303,112,04-Apr-17
Simit Mohanty,b6f0bedea0334f9d8980dc5d6e1cec57,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Worth every penny,"Nice Mobile... Charge lasts more than 1day after heavy uses. Only 1 thing in my mind why Flipkart is not exchanging Oppo F3 plus???
 
 

   READ MORE
  
",13,1,16-Oct-17
Mitali Bhatt,39ea63e37c1f4216831811dd50f0ab1c,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Classy product,"Superb phone!!!
 
 

   READ MORE
  
",667,268,05-Apr-17
Dhanendiran.R,923c44b1b6c14467b53ab38b5169385b,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Terrific,"Very nice mobile I like oppo f3 plus gold 5 star
 
 

   READ MORE
  
",153,54,06-Apr-17
yadu MD,c8696d15b4384f3a958dc578c7227058,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Brilliant,"Good phone...Good quality...Good performance....
 
 

   READ MORE
  
",34,8,07-Apr-17
Raja Chereddy,8948b90c13814eb3b566838f57e215d2,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,3,Fair,"It doesn't  support  JIO video calling...may be OPPO need to work on it.
  
  Except  that few more -ves
  
  1.While using the   below 20% of charge.....there is heat issues.
  
  2. While jio using also same issue.
  
  3. Battery Max 18 hours if you not even using 4G network.
  
  4. Not impressive camera at this range.
  
  5. OPPO need to work on its software.
 
 

   READ MORE
  
",182,69,01-Oct-17
Abhishek Shaw,18af954444f54d5ea34f80a12767a49e,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Just wow!,"First let me inform you about a very important thing to those buyers who are complaining that they haven't received the earphone, please check the box properly, the earphone is just below where the USB cable was kept.
  

  Now coming to the phone, which I purchased for just 10,800  (in 12 months zero cost EMI with my HDFC credit card) by exchanging my 1.5 years old Moto X style at 12,000 . Thanks flipkart and oppo for this great deal!
  

  This phone is definitely overpriced, and if it's priced between 15-20k then it's really a good buy!
  

  I'm using this phone since last 4 days, and here's positive and negative impressions:
  

  Camera: The rear 16mp camera is really great. It captures some great shots in daylight, indoor light and low light. You'll get great bokeh effect because of it's 1.7f aperture. The flash is bright too.
  

  The front 16mp selfie camera is one of the best I've ever seen. It captures great details and bright selfies at all lighting conditions. The 8mp wide angle lens is very wide for group selfies the quality is quite good. Though it lacks details and in low light it attracts noise. But I'm not impressed with it's bokeh mode. First, the bokeh mode works in beauty mode only which makes the photo artificial and second it's not able to differentiate properly between the subject and background. As a result you'll see your hair, shoulders are getting blurred. Oppo needs to update the camera app so that we can take the advantage of the dual selfie camera properly. So basically it's a phone with two front camera not dual camera.
  

  Build quality and design: The build quality is good because of metal body. Special thanks to oppo for providing good soft transparent cover and pre applied screen guard out of the box.
  

  Performance: The performance is really smooth because of SD652 and 4gb ram. I haven't find any hiccups while doing daily task of browsing, social networking, camera, gaming etc. I've also noticed that the os use very less RAM in comparison to with other phones. Take example of my Mi A1 where the total ram is 3.5gb and in this phone the total ram is around 3.8 gb. But one big flaw in this color os is the ram management. The os often freeze the apps which run in background like internet speed meter, Ad blocker etc. As a result I miss the notification of whatsapp, Facebook etc. I'm still trying to find a way to resolve this.
  

  Display: The corning gorilla glass 5 protected 6 inch is very bright and colourful. But it's highly saturated too. The display os on the warmer side and unfortunately you can't change the color temperature. Due to this the skin tone of people while watching videos looks red, yellow and pinkish.
  

  Sound: The sound quality is nice. Speaker volume is adequately loud. The real HD sound equalizer by oppo didn't excited me much. Dolby atmos and my Mi A1 sound output is much better. The earphone is decent, nothing special.
  

  Call: The call quality is good and the network reception is also fine with my Jio 4g.
  

  Finger print: The finger print sensor is one of the fastest. But personally I prefer finger print on rear side. Due to the size of the phone it's bit difficult to unlock it with your thumb everytime.
  

  OS and software: I didn't liked the color OS at all. It's really far behind MiUi. There's not much customization  option you'll get. Wish they improve it with update and hope I'll get nougat update.
  

  Battery: I'm yet to test the 4000mah battery properly, will add my feedback after a week or two. But I'm really impressed with the fast VOOC charging which is blazingly fast. It charges the phone from 15 to 90 in just an hour and fully charged the phone in approx 90 minutes.
  

  Overall I'm very much satisfied with my 10,800  spent on this selfie expert. I've never thought or planned that I'll ever use oppo smartphones, but seriously guys if you're getting such huge discount deals, and okay with some flaws which I've mentioned above  then go for it! I'm sure you'll not regret it.
 
 

   READ MORE
  
",24,5,18-Oct-17
Rajashekhar  H D,8c62fe961a614f0f9e0698f80489ba51,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,3,does not have the front flash,"oppo selfie phone does'nt have the front flash, rear camera just good, nothing new in the phone, price is not reasonable, price must be rs. 22000 to rs.23000.
 
 

   READ MORE
  
",47,15,11-Apr-17
SanthoshM,f378cf3f0c8a4feea0098943e1c9c262,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,5,Super!,"Awesome product and i was impressed the delivery thank you Flipkart and Ekart courier...I bought 12K super discount and even exchanged my old Samsung J7 mobile @12k....
 
 

   READ MORE
  
",13,2,16-Oct-17
Anand Challa,e282c98e75994038a76d3934ca9105e8,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,4,Nice product,"Super fast Charging, excellent signal quality, Too good Camera. For this price, the only minor drawback is the processor. Oppo should provide 820 Snapdragon for 5stars.Overall, it's an excellent Mobile
 
 

   READ MORE
  
",60,23,03-Jun-17
Rajesh T G,5df2bedf1008490a9b9b31012ae9ebd8,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,3,Above-average product,"Good camera centric phone. Even lthough I am not happy with the pricing, the phone is a good performer in terms of camera, battery life, call  and data, media.
  

  The build quality of this phone is good and looks like a member of iPhone family. The full HD screen is vibrant and the colours appears to be over saturated. There is no option in the phone to set the colour balance. Viewing angles of the screen are great and also the outdoor visibility is good too.
  

  There is no lag in the phone's daily performance. Memory management implementation is good thanks to the 4 GB RAM. Call quality is loud and clear even with volte.
  

  Camera performance is good in both indoor and outdoor lighting conditions but the OIS implementation is above average only. If you are not careful you will end up with shaky images.
  

  Battery life is okay and it can easily last for a full day with moderate usage.
  

  The phone is good for multimedia. Audio from headphone sounds great with real HD option turned on. It even sound better than Lenovo vibe X3.
  

  Now about the cons I observed in the phone. Many people especially those who have used Samsung or Nexus phone would not appreciate the experience of color os. The phone's price never justifies it's hardware. Offline models like vivo V5 plus (having almost similar specs) are sold for a much cheaper price. Future software updates are a big question mark. The phone launched in 2017 still run on the almost outdated marshmallow os.
  

  Overall it a good phone. I'll recommend this phone over Samsung Galaxy A and C series phone.
 
 

   READ MORE
  
",71,31,17-Apr-17
Pintu Pradeep,bf1738d06d254df6bff50921d9da0ce4,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Very poor,"One plus 3 and 3T are far better than this useless mobile ..don't buy.!! Worst os
 
 

   READ MORE
  
",142,72,03-May-17
Aamir  Khan,4fc53d39d4c5440883768a239c8e28c4,"OPPO F3 Plus (Gold, 64 GB)",MOBES9G5SJHYT9QX,1,Very poor,"What Oppo is selling snapdragom 652 chipset on 30k.. Ridiculous Oppo.. Why u r fooling people.. Guys better go with redmi or moto g5 plus.. Same specs in half amount..
 
 

   READ MORE
  
",205,110,21-Apr-17
