bunty bhattia,66d431b08d7040d1aee463efd992570f,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,Just wow!,"Ditto V5
  
  Just Finger Print Scanner Missing
 
 

   READ MORE
  
",320,68,14-Jun-17
vickyFlipkart Customer,2ab119ff955d4b929b212958eacca7cd,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,good mobile for me .,"Best mobile with all good quality..
 
 

   READ MORE
  
",338,108,25-Apr-17
Mahesh Makwana,a9d100b81d7c4c18aecaff943515e1fc,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,4,Wonderful,"Good phone
 
 

   READ MORE
  
",211,82,09-Apr-17
Pradeep negi,d0ae5d9e4fa2437d919bb4aa7c29bad9,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,3,Worthless,"It's working superb 16mp camera it's an advantage
  
  But the weak point
  
  1-worst kide earphone that's type of earphones  provide  in just 3k to 4k range mobile
  
  Who the assembled person I will like to gave him a standing ovation for his sucking planing
  

  2- battery it's taking too time to complete charge like 2 hours but it's manageable
  




  I have rated 1 bcoz of earphones bcoz I am a music lover and if I know before then I will never buy this.
 
 

   READ MORE
  
",1659,775,14-Apr-17
Mayur Patil,e4465ca153494ed4a799da0c28772201,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,Worth every penny,"Nice phone. good to use
 
 

   READ MORE
  
",7,0,30-May-17
Devendra Gujarati,51656d663f3649d492d1785d89fee465,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,3,Three Stars,"Camera- 3/5 not upto the mark.  Quality is average.
  

  Look wise- 5/5 Handy light weight.
  

  No heating or hanging issue.
  

  REALLY SMART PHONE SMART FEATURES.
  

  Apart from camera nice phone. Mi3s prime has better camera then y66.
  

  So finally i suggest If u r looking for good camera phone then dont go for it.  MOTO M, Samsung j7prime has better camera then y66.
 
 

   READ MORE
  
",34,10,20-Jul-17
Flipkart Customer,de093af230d94078838bee4cb3c81451,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,1,Not recommended at all,"I hve ordered crown gold.. But u u hve delivered me black. I log a complain regarding this, no body has taken any action... All customet care says ur problem will be shot out in 24 hrs. But nothing happened... Useless....
 
 

   READ MORE
  
",119,52,12-Jun-17
manjunath bl,85f5cdd3a9c64ee39018b7a93506090d,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,Mind-blowing purchase,"Super mobile and cameras is very very excellent very beautiful clearance super mobile in good price
 
 

   READ MORE
  
",13,2,11-May-17
Tanishk singh,3d5fdb99fb884709998cf6c6697c6169,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,Awesome,"This phone is damn awesome specially camera and battery backup
 
 

   READ MORE
  
",41,14,20-Apr-17
Flipkart Customer,18ac8941b36c456291d9b747a8031720,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,3,Decent product,"Nice product . But One disadvantage is can't able to use two Sims and sd card at a time
 
 

   READ MORE
  
",6,0,20-Jun-17
hiresh kadu,e3bbcfd4703444339323811910952a44,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,3,Just okay,"camera is not good as its 16 mega pixel. if your are going to buy it for its camera then dont expect much good from this mobile.even it takes more than 2 hrs to charge mobile. rest features are ok.
  
  service given by flipkart is very good
 
 

   READ MORE
  
",105,48,28-Jun-17
Sonal Badhe,e00c932d6fc843a69eff5a3f43807dee,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,3,Good,"Amazing smartphone
 
 

   READ MORE
  
",11,2,19-May-17
Supriyo  das,b47c8cbea0b740a2b1d7cf10c547d552,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,Worth every penny,"Osommm phone
 
 

   READ MORE
  
",5,0,07-Jun-17
dilip srivastava,d954b2b8613c48cf852faf5b3cdf8d65,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,Great product,"Nice products..I'm very happy
 
 

   READ MORE
  
",8,1,10-May-17
Wiyyapu Vamsikrishna,bfd0183a981a461b9599c52012f7a617,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,1,Great product,"Excellent mobile for best price with best features
 
 

   READ MORE
  
",12,4,15-Jun-17
Sru,79db986b7fb24db3b99dcb9420ff1ac3,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,Wonderful,"Ive been using this phone since a month
  

  Pros:
  
  Amazing touch sensor
  
  Front and back cameras are just awesome
  
  Budget smart phone
  
  RAM speed
  
  Looks like an I phone
  
  Does not get heated up on charge
  

  Cons:
  
  Phone hangs a bit when u play high RAM usage games or applications.
  
  Moon light camera feature is not as expected.
  
  Earphones quality
 
 

   READ MORE
  
",18,8,13-Jun-17
Flipkart Customer,98b6270dd0c64b6299ecb610664da8e9,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,4,Wonderful,"good
 
 

   READ MORE
  
",10,3,23-Apr-17
BAKKIARAJA B,e3d83c51c8a64288a537a3d2432cd3f9,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,2,Wonderful,"Very nice Mobile camera good battery good
 
 

   READ MORE
  
",13,5,16-Jul-17
APARNA N PRASAD,5362baf25b6c462a893c6ab011cf074c,"VIVO Y66 (Matte Black, 32 GB)",MOBESCUYRFYTJXHJ,5,Coolest of all Smartphone,"Brought it last week and it is the coolest smartphone brought by me.
  

  Pros
  
  1 Great Performance.
  
  2 Nice Camera.
  
  3 Has a thick screen card in (built) it.
  
  4 Above average Battery backup(I am myself not a heavy user)
  
  5 Great picture quality (Not sure of 1080p)
  
  6 Amazing front camera
  

  Cons
  
  1 Does not have a fingerprint Sensor
  
  2 Audio Quality not upto mark(Rock music lover)
  
  3 Little bit expensive compared to other smartphones
  

  But in the end , a good phone for Selfie Freaky
 
 

   READ MORE
  
",6,1,02-Jul-17
